Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS29, L1, 5Mn
Exported On:,2022/08/24,11:07
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), THC (ppm), NO (ppb), NO2 (ppb), NOx (ppb), PM2.5 (ug/m3), Wind Speed @ 10m (km/h), Wind Dir @ 10m (deg.), Relative Humidity (%), Temp @ 2m (deg. C)
2022-05-24 19:25:00,0.24,-0.18,1.96,-0.04,0.04,0,2.81,10.25,104.3,57,10.01
2022-05-24 19:30:00,0.15,-0.13,2,-0.03,0.03,0,2.75,10.24,104.4,58,9.85
2022-05-24 19:35:00,0.04,-0.18,2.02,-0.05,0.03,-0.02,2.72,7.17,104.1,59,9.69
2022-05-24 19:40:00,0.08,-0.16,1.97,-0.03,0.02,-0.01,2.74,7.01,109,60,9.52
2022-05-24 19:45:00,0.2,-0.14,1.95,-0.01,-0.01,-0.02,2.69,8.82,103.1,60,9.35
2022-05-24 19:50:00,0.24,0.01,1.98,-0.01,-0.01,-0.02,2.71,7.56,97.8,61,9.2
2022-05-24 19:55:00,0.1,-0.24,1.95,-0.02,0,-0.02,2.74,9.53,110.9,60,9.07
2022-05-24 20:00:00,0.15,-0.06,1.94,-0.01,-0.01,-0.02,2.64,8.84,99.6,60,8.95
2022-05-24 20:05:00,0.1,0.02,1.94,-0.01,-0.02,-0.03,2.54,8.01,99.4,60,8.82
2022-05-24 20:10:00,0.11,-0.13,2.03,-0.02,0.03,0.01,2.57,4.87,92.9,62,8.52
2022-05-24 20:15:00,0.19,-0.06,2.02,-0.04,0.01,-0.03,2.69,5.41,109.8,62,8.42
2022-05-24 20:20:00,0.2,-0.07,1.95,0,-0.03,-0.04,2.82,4.38,98.4,62,8.28
2022-05-24 20:25:00,-0.08,0.13,1.93,-0.05,0.03,-0.02,2.8,4.65,102.1,63,8.09
2022-05-24 20:30:00,0.11,-0.17,1.98,-0.02,0.02,0,2.73,2.87,82.6,64,7.84
2022-05-24 20:35:00,0.22,0.03,1.98,-0.04,0.08,0.05,2.79,3.72,84.4,65,7.65
2022-05-24 20:40:00,0.21,0.07,1.98,0,0.03,0.03,2.84,2.96,95,67,7.4
2022-05-24 20:45:00,0.24,-0.2,1.97,0,0.01,0,2.74,3.49,90.9,69,7.11
2022-05-24 20:50:00,0.18,-0.02,1.98,-0.04,0.04,0,2.62,2.73,124.2,71,6.83
2022-05-24 20:55:00,0.25,0.09,2,-0.04,0.03,-0.01,2.54,3.46,121.8,71,6.81
2022-05-24 21:00:00,0.15,-0.12,2.01,-0.04,0.03,-0.01,2.57,2.68,112.1,71,6.82
2022-05-24 21:05:00,0.18,-0.01,1.98,-0.03,0,-0.03,2.65,2.39,111.4,72,6.55
2022-05-24 21:10:00,0.01,-0.13,1.96,-0.01,-0.01,-0.02,2.67,1.94,17.96,74,6.37
2022-05-24 21:15:00,0.02,0.18,1.95,-0.02,0.02,0,2.68,1.72,23.31,75,6.24
2022-05-24 21:20:00,0.07,0.15,1.95,-0.04,0.01,-0.02,2.71,1.39,262.3,74,6.26
2022-05-24 21:25:00,0.12,0.04,1.95,-0.02,0.04,0.02,2.64,2.02,346.8,73,6.29
